company,stage,country,sector,funding_amount,investors_count,founded_year,status,last_funding_date
Clickatell,Series B,USA,messaging,12000000.0,2.0,2000.0,operating,2011-02-28
ConSentry Networks,Series A,USA,network_hosting,46400000.0,8.0,2003.0,closed,2009-01-19
IKANO Communications,,USA,web,22500000.0,1.0,1999.0,operating,2007-04-01
LogLogic,Series C,USA,security,8800000.0,5.0,2002.0,acquired,2009-05-26
Sipera Systems,Series A,USA,security,39730000.0,5.0,2003.0,operating,2010-05-18
Dash,Series C,USA,mobile,65000000.0,10.0,,acquired,2008-02-01
For Art's Sake Media,Angel,,web,100000.0,,2007.0,closed,2008-01-01
Nimble Storage,Series C,USA,enterprise,81700000.0,5.0,2008.0,operating,2012-09-10
Aruba Networks,Series A,USA,,45000003.0,4.0,2002.0,ipo,2012-06-06
Hall,Series A,USA,messaging,6080000.0,6.0,2011.0,operating,2013-07-23
Veodia,Series A,USA,games_video,8300000.0,2.0,2006.0,operating,2008-05-12
DealBase Corporation,Angel,USA,web,1000000.0,3.0,2008.0,operating,2009-05-08
Cliqset,Series A,USA,web,2000000.0,1.0,2008.0,operating,2009-06-01
The Solution Group,Angel,USA,software,500000.0,,2002.0,operating,2002-08-28
Big Fish,Series A,USA,games_video,95244796.0,3.0,2002.0,operating,2012-04-18
JustFab,Series C,USA,fashion,149000000.0,6.0,2010.0,operating,2013-09-26
uTest,Series C,USA,software,37800000.0,6.0,2007.0,operating,2011-12-05
Metranome,Series A,CAN,mobile,2000000.0,1.0,2007.0,closed,2008-12-23
Innerscope Research,Series A,USA,biotech,9400000.0,,,operating,2011-09-21
Intrinsic Therapeutics,Series A,USA,medical,11600000.0,,2000.0,operating,2012-11-09
CardioKinetix,Series C,USA,medical,71000000.0,8.0,2003.0,operating,2013-03-01
Streamline Alliance,Series A,USA,other,1000000.0,,1999.0,operating,
Semantra,Series C,USA,software,9100000.0,1.0,2003.0,closed,2008-07-22
Notifixious,Angel,USA,public_relations,200000.0,,2008.0,operating,2009-11-20
Bridge Energy Group,Series A,USA,consulting,11000000.0,1.0,2006.0,operating,2011-10-03
Startapp,Series A,USA,mobile,4300000.0,2.0,2010.0,operating,2012-03-27
Plugaround,Angel,FRA,web,93359.0,,2010.0,operating,2011-10-05
Alice.com,,USA,ecommerce,21827665.0,2.0,2008.0,operating,2012-01-31
ColorPlaza,Series A,CHE,web,2970000.0,2.0,1999.0,acquired,2007-01-01
Payoneer,Series B,USA,other,14000000.0,7.0,2005.0,operating,2008-07-24
CasaSwap.com,Angel,DNK,web,80000.0,,2004.0,operating,2006-01-01
Songkick,Series B,GBR,music,16615000.0,6.0,2007.0,operating,2012-03-08
Qpyn,Angel,GBR,mobile,891177.0,1.0,2003.0,closed,2008-09-15
Pathable,Series A,USA,network_hosting,314169.0,1.0,2007.0,operating,2011-06-03
HomeViva,Angel,,web,40000.0,1.0,2011.0,operating,2011-07-01
Shopatron,,USA,enterprise,10000000.0,3.0,2001.0,operating,2012-12-01
Gowalla,Series B,USA,web,10400001.0,12.0,2007.0,acquired,2010-01-28
Wix,Series C,ISR,web,58500000.0,5.0,2006.0,ipo,2011-03-28
Ironroad USA,Series A,SWE,messaging,1200000.0,1.0,,operating,2011-09-21
DirectMoney,Angel,AUS,public_relations,98000.0,,2006.0,closed,2006-12-01
FirstFuel Software,Series B,USA,analytics,20900000.0,4.0,2011.0,operating,2013-12-10
Get.com,Angel,USA,social,1000000.0,,2011.0,operating,2011-09-22
JackBe,,USA,software,24500000.0,5.0,2002.0,acquired,2010-04-08
Ziva Software,Series A,IND,mobile,1700000.0,1.0,2005.0,closed,2007-03-14
Altermune Technologies,Series A,USA,biotech,7000000.0,1.0,2010.0,operating,2011-09-22
Bespoke Global,Series A,USA,ecommerce,3030712.0,1.0,2010.0,operating,2013-04-05
OneRoof Energy,Series A,USA,cleantech,83000000.0,3.0,2009.0,operating,2013-10-22
OnVantage,Series B,USA,software,18000000.0,4.0,2004.0,acquired,2006-01-17
SalesLoft,Angel,USA,software,18000.0,3.0,2011.0,operating,2012-05-17
iJukebox,Angel,USA,music,2125000.0,,2010.0,operating,2013-08-09
EchoSign,Series B,USA,web,8500000.0,2.0,2005.0,acquired,2007-10-01
Academia.edu,Series B,USA,social,17800000.0,8.0,2008.0,operating,2013-09-26
Brightstorm,Series A,USA,games_video,6000000.0,1.0,2008.0,operating,2008-10-21
Unigo,Series A,USA,education,2000000.0,1.0,2008.0,operating,2011-09-15
PacketTrap Networks,Series A,USA,software,5500000.0,1.0,2006.0,operating,2007-08-01
