company,stage,country,sector,funding_amount,investors_count,founded_year,status,last_funding_date,estimated_revenue,capital_efficiency,monthly_burn,runway_months,traction_index,rule_of_40
Viableware,Series B,USA,hardware,7456072.0,1.0,2010.0,operating,2013-07-23,3728036.0,0.5,248535.73333333334,15.0,1.3312050186035163,90.0
Tegile Systems,Series C,USA,enterprise,45000000.0,4.0,2010.0,operating,2013-08-07,36000000.0,0.8,1250000.0,18.0,7.468239359280335,75.0
AnaCatum Design,Series A,SWE,software,1481639.0,2.0,,operating,2012-04-30,444491.7,0.3,61734.958333333336,12.0,5.416070239057227,100.0
DGP Labs,Series A,USA,web,4750000.0,2.0,,closed,2007-11-01,1425000.0,0.3,197916.66666666666,12.0,5.86115143042296,100.0
GlassBox,,CAN,games_video,6210000.0,1.0,,acquired,2013-11-27,1242000.0,0.2,258750.0,12.0,1.9796605959665814,55.0
IMedExchange,Series A,USA,web,2624000.0,,2007.0,closed,2009-11-06,787200.0,0.3,109333.33333333333,12.0,0.4582772121113205,100.0
Provade,Series C,USA,enterprise,15180000.0,1.0,2004.0,acquired,2010-08-11,12144000.0,0.8,421666.6666666667,18.0,0.5726538048305695,75.0
Aragon Consulting Group,Series A,USA,software,2500000.0,1.0,2005.0,operating,2008-05-20,750000.0,0.3,104166.66666666667,12.0,0.339481501855517,100.0
Scoupon,Angel,POL,ecommerce,30000.0,,2012.0,operating,2012-05-01,2400.0,0.08,1666.6666666666667,9.0,1.0379813004415606,79.0
Dashbid,Series A,USA,advertising,2050000.0,,2011.0,operating,2011-03-29,615000.0,0.3,85416.66666666667,12.0,1.3758177148675708,100.0
The LAB Miami,Angel,USA,other,500000.0,,2011.0,operating,2012-09-01,40000.0,0.08,27777.777777777777,9.0,0.6561630433163597,79.0
Myrio Solution,Angel,USA,software,18885.0,1.0,2011.0,operating,2012-07-01,1510.8,0.08,1049.1666666666667,9.0,0.48927340272657716,79.0
Border Stylo,Series D+,USA,software,27520000.0,,2008.0,operating,2011-08-11,27520000.0,1.0,764444.4444444445,18.0,1.2966377187136822,75.0
DINKlife,Angel,USA,social,95000.0,1.0,2010.0,operating,2011-10-01,7600.0,0.08,5277.777777777777,9.0,0.3769502814278961,79.0
TVtrip,Series B,FRA,web,13770000.0,3.0,2007.0,operating,2009-02-02,6885000.0,0.5,459000.0,15.0,2.0810721669814227,90.0
GrubHub,Series D+,USA,hospitality,84100000.0,9.0,2004.0,operating,2013-08-21,84100000.0,1.0,2336111.111111111,18.0,6.959097018054972,75.0
First Active Media,Series A,,web,609539.0,1.0,,operating,2012-04-30,182861.69999999998,0.3,25397.458333333332,12.0,2.532227537652468,100.0
PreCision Dermatology,,USA,biotech,96400001.0,7.0,2010.0,operating,2013-09-23,19280000.2,0.19999999999999998,4016666.7083333335,12.0,5.450462054687005,55.0
Pindrop Security,Series A,USA,security,12000000.0,11.0,2011.0,operating,2013-06-19,3600000.0,0.3,500000.0,12.0,17.113339033839562,100.0
Virgin Mobile Latin America,Series C,,mobile,46500000.0,4.0,,operating,2013-02-16,37200000.0,0.8,1291666.6666666667,18.0,22.47103942332927,75.0
Varsity News Network,Series A,USA,sports,1616271.0,1.0,,operating,2013-02-27,484881.3,0.3,67344.625,12.0,2.718507880574789,100.0
Blue Pillar,Series B,USA,software,7000000.0,4.0,,operating,2012-05-01,3500000.0,0.5,233333.33333333334,15.0,16.045257872332304,90.0
Avito.ru,Series A,RUS,advertising,75000000.0,1.0,,operating,2012-05-01,22500000.0,0.3,3125000.0,12.0,3.4515318841903593,100.0
Ruby Ribbon,Series B,USA,fashion,13554000.0,2.0,2011.0,operating,2013-04-30,6777000.0,0.5,451800.0,15.0,4.170399428950891,90.0
ImmuVen,,USA,biotech,1930000.0,1.0,,operating,2012-05-01,386000.0,0.2,80416.66666666667,12.0,1.8308359905137745,55.0
Cognovant,Angel,USA,health,150000.0,,,closed,2012-05-01,12000.0,0.08,8333.333333333334,9.0,1.2019488382866932,79.0
Twitpay,Series A,USA,ecommerce,500000.0,1.0,2010.0,closed,2011-01-01,150000.0,0.3,20833.333333333332,12.0,0.823274305972028,100.0
Relevant Media,Series A,RUS,news,2623000.0,1.0,2010.0,operating,2010-12-01,786900.0,0.3,109291.66666666667,12.0,0.9288121608122053,100.0
Vangard Voice Systems,Series B,USA,enterprise,5000000.0,1.0,,operating,2008-12-16,2500000.0,0.5,166666.66666666666,15.0,3.916404527507162,90.0
Zando,Series A,ZAF,ecommerce,25700000.0,1.0,2011.0,operating,2012-11-02,7710000.0,0.3,1070833.3333333333,12.0,1.6173325715015427,100.0
BeliefNetworks,Angel,USA,software,1400000.0,1.0,2007.0,operating,2008-12-01,112000.0,0.08,77777.77777777778,9.0,0.22801573438014072,79.0
Oomnitza,Angel,,enterprise,250000.0,,2012.0,operating,2012-02-21,20000.0,0.08,13888.888888888889,9.0,1.2539911191041229,79.0
Robotgalaxy,Series B,USA,games_video,12000000.0,1.0,2006.0,closed,2008-09-16,6000000.0,0.5,400000.0,15.0,0.5808130936857506,90.0
Skyscanner,Series A,GBR,web,5207611.0,2.0,2001.0,operating,2013-10-03,1562283.3,0.3,216983.79166666666,12.0,0.4800990482380486,100.0
LaFourchette,Series A,FRA,hospitality,14820030.0,3.0,,operating,2012-05-02,4446009.0,0.3,617501.25,12.0,9.449925016616763,100.0
bMobilized,Series A,USA,mobile,1500000.0,2.0,,operating,2012-05-02,450000.0,0.3,62500.0,12.0,5.420775586217625,100.0
Whotever,Angel,,web,32400.0,,,operating,2012-01-05,2592.0,0.08,1800.0,9.0,1.0458219958344035,79.0
Vixar,Series B,USA,manufacturing,2500000.0,1.0,,operating,2012-04-30,1250000.0,0.5,83333.33333333333,15.0,3.7398620904198863,90.0
Primcogent Solutions,Series A,USA,medical,15000000.0,1.0,2009.0,operating,2012-05-02,4500000.0,0.3,625000.0,12.0,0.7768116822029483,100.0
BoomWriter Media,Series A,USA,education,479000.0,,2010.0,operating,2012-05-02,143700.0,0.3,19958.333333333332,12.0,0.8205422041146218,100.0
M Squared Lasers,Series A,GBR,manufacturing,6257937.0,1.0,,operating,2012-05-01,1877381.0999999999,0.3,260747.375,12.0,2.9771008012459546,100.0
Heliae,Series A,USA,biotech,123400000.0,2.0,2008.0,operating,2013-09-03,37020000.0,0.3,5141666.666666667,12.0,1.4112909104523488,100.0
Keelvar,Angel,IRL,software,922350.0,3.0,2013.0,operating,2012-08-01,73788.0,0.08,51241.666666666664,9.0,4.1855344822748295,79.0
Tamar Energy,Series A,GBR,cleantech,11323390.0,1.0,,operating,2012-05-03,3397017.0,0.3,471807.9166666667,12.0,3.0903810519887385,100.0
Ignis Energy,Series A,GBR,cleantech,5014644.0,1.0,,operating,2012-05-03,1504393.2,0.3,208943.5,12.0,2.9347915433234157,100.0
Cuutio Software,Angel,FIN,advertising,131310.0,5.0,2011.0,operating,2012-05-02,10504.800000000001,0.08,7295.0,9.0,2.9894014813861483,79.0
Mindwork Labs,Series A,GBR,web,2380000.0,,2012.0,operating,2012-11-29,714000.0,0.3,99166.66666666667,12.0,2.7924296140147358,100.0
iMall.eu,Angel,GBR,fashion,470000.0,,2012.0,operating,2012-11-01,37600.0,0.08,26111.11111111111,9.0,1.3183043045710519,79.0
SKINNYprices,,,,100000.0,,,operating,2012-07-09,20000.0,0.2,4166.666666666667,12.0,1.4538711969439546,55.0
Oink,Series A,USA,ecommerce,15330595.0,,2008.0,operating,2013-06-05,4599178.5,0.3,638774.7916666666,12.0,0.6198258147662267,100.0
Uversity,Series A,USA,social,10230000.0,3.0,2007.0,operating,2012-10-18,3069000.0,0.3,426250.0,12.0,1.529350735958131,100.0
MoneyFarm,Series A,ITA,finance,4409040.0,3.0,2011.0,operating,2012-11-30,1322712.0,0.3,183710.0,12.0,4.371449828929544,100.0
GigSky,Series A,USA,mobile,2028715.0,,2010.0,operating,2012-12-21,608614.5,0.3,84529.79166666667,12.0,0.9124532265117011,100.0
Colectica,,USA,software,250000.0,1.0,2010.0,operating,2011-04-01,50000.0,0.2,10416.666666666666,12.0,0.5153317953647011,55.0
Kuapay,Series A,USA,mobile,6500000.0,,2011.0,operating,2012-06-22,1950000.0,0.3,270833.3333333333,12.0,1.4860342049118924,100.0
Facio,Angel,USA,software,300000.0,1.0,2011.0,operating,2012-05-03,24000.0,0.08,16666.666666666668,9.0,0.6301419029076447,79.0
Soshowise,Angel,USA,web,50000.0,4.0,2011.0,closed,2012-02-01,4000.0,0.08,2777.777777777778,9.0,2.192329169824295,79.0
The Language Express,Angel,USA,education,750000.0,,2008.0,operating,2012-05-03,60000.0,0.08,41666.666666666664,9.0,0.2633576693813138,79.0
Flumes,Angel,,analytics,78915.0,1.0,2011.0,operating,2011-10-15,6313.2,0.08,4384.166666666667,9.0,0.5621168872432242,79.0
Frame,Angel,,ecommerce,225000.0,7.0,,acquired,2011-01-01,18000.0,0.08,12500.0,9.0,8.776491887194283,79.0
Knodium,Angel,GBR,education,35000.0,1.0,2011.0,operating,2012-04-01,2800.0,0.08,1944.4444444444443,9.0,0.5207019865781185,79.0
SumAll,Series A,USA,analytics,13500000.0,4.0,2011.0,operating,2013-12-03,4050000.0,0.3,562500.0,12.0,6.260215013925395,100.0
Shopitize,Series A,GBR,mobile,1638906.0,1.0,2010.0,operating,2011-08-01,491671.8,0.3,68287.75,12.0,0.8988668253264004,100.0
Iotum,Series D+,CAN,web,2649001.0,1.0,2003.0,operating,2013-05-29,2649001.0,1.0,73583.36111111111,18.0,0.5527513387751056,75.0
AngelPolitics,Angel,,nonprofit,25000.0,1.0,2011.0,operating,2012-06-04,2000.0,0.08,1388.888888888889,9.0,0.5035622995588829,79.0
TidePool,Series A,USA,web,1500000.0,2.0,,operating,2012-05-04,450000.0,0.3,62500.0,12.0,5.420775586217625,100.0
Lapio,Angel,DNK,sports,110000.0,1.0,2012.0,operating,2013-10-30,8800.0,0.08,6111.111111111111,9.0,1.1703506389702616,79.0
Blink Booking,Series A,GBR,travel,4400000.0,8.0,2012.0,acquired,2012-03-01,1320000.0,0.3,183333.33333333334,12.0,23.36448462209028,100.0
RoboCent,Angel,USA,mobile,15000.0,,2012.0,operating,2013-01-05,1200.0,0.08,833.3333333333334,9.0,0.9673643256066501,79.0
Piggybackr,Angel,USA,nonprofit,325000.0,3.0,2011.0,operating,2013-04-17,26000.0,0.08,18055.555555555555,9.0,1.927221700970386,79.0
Klout,Series A,USA,social,40000000.0,22.0,2008.0,operating,2012-09-28,12000000.0,0.3,1666666.6666666667,12.0,14.700153684742192,100.0
Lawdingo,Angel,USA,legal,790000.0,8.0,2012.0,operating,2013-10-30,63200.0,0.08,43888.88888888889,9.0,11.055653810125587,79.0
NaturalPath Media,Angel,USA,advertising,250000.0,2.0,2006.0,acquired,2006-12-01,20000.0,0.08,13888.888888888889,9.0,0.3495103145252392,79.0
WegoWise,Series A,USA,web,4900000.0,1.0,2010.0,operating,2013-05-14,1470000.0,0.3,204166.66666666666,12.0,0.9686032346733252,100.0
Pictorious,Angel,USA,photo_video,25000.0,1.0,2011.0,operating,2012-01-09,2000.0,0.08,1388.888888888889,9.0,0.5035622995588829,79.0
Pixlee,Series A,USA,other,1500000.0,6.0,2012.0,operating,2013-10-29,450000.0,0.3,62500.0,12.0,16.2868907732655,100.0
Cyvera,Series B,ISR,security,13100000.0,4.0,2011.0,operating,2013-08-13,6550000.0,0.5,436666.6666666667,15.0,8.335726085209014,90.0
DeNovo Sciences,,USA,biotech,1310000.0,1.0,2010.0,operating,2013-11-27,262000.0,0.2,54583.333333333336,12.0,0.5856417867866118,55.0
Stockezy,Angel,IND,finance,100000.0,1.0,2008.0,operating,2011-01-04,8000.0,0.08,5555.555555555556,9.0,0.2223025053737288,79.0
Seevibes,Angel,CAN,advertising,200000.0,7.0,2011.0,operating,2012-02-28,16000.0,0.08,11111.111111111111,9.0,4.3401063765166255,79.0
ApnaPaisa,Series B,IND,ecommerce,17200000.0,3.0,2007.0,operating,2007-12-01,8600000.0,0.5,573333.3333333334,14.999999999999998,2.1093966360691807,90.0
MT DIGITAL MEDIA,Series A,GBR,web,32000000.0,2.0,,operating,2008-09-09,9600000.0,0.3,1333333.3333333333,12.0,6.589937806149225,100.0
SKINNYprice,Angel,USA,software,100000.0,,2011.0,operating,2012-07-29,8000.0,0.08,5555.555555555556,9.0,0.5741792743937932,79.0
TalentBin,Series A,USA,web,3200000.0,8.0,2011.0,operating,2013-07-16,960000.0,0.3,133333.33333333334,12.0,11.432773774504442,100.0
Mozaik Media,Angel,IDN,education,500000.0,5.0,2011.0,operating,2012-04-08,40000.0,0.08,27777.777777777777,9.0,3.3299432458070544,79.0
Nuevora,Series A,USA,analytics,2250000.0,1.0,,operating,2012-05-07,675000.0,0.3,93750.0,12.0,2.7816998185671404,100.0
Egalet,Series A,DNK,biotech,24300000.0,5.0,1995.0,operating,2013-09-13,7290000.0,0.3,1012500.0,12.0,0.89008718464094,100.0
Attracta,Series A,USA,network_hosting,2500000.0,,2009.0,operating,2009-08-15,750000.0,0.3,104166.66666666667,12.0,0.6912450110173484,100.0
121cast,Angel,AUS,mobile,270000.0,3.0,2012.0,operating,2012-11-13,21600.0,0.08,15000.0,9.0,3.8100594581035256,79.0
Deepclass,Series A,FRA,ecommerce,4350000.0,2.0,2013.0,operating,2013-07-19,1305000.0,0.3,181250.0,12.0,5.827543369972703,100.0
easy2map,Angel,ZAF,software,36000.0,2.0,2011.0,operating,2013-02-01,2880.0,0.08,2000.0,9.0,1.0565559944590412,79.0
Negotiant,Series A,SVK,real_estate,13025.0,1.0,2005.0,operating,2012-05-08,3907.5,0.3,542.7083333333334,12.0,0.21395153856272678,100.0
Wi3,,USA,hardware,1090000.0,,2008.0,operating,2011-09-26,218000.0,0.2,45416.666666666664,12.0,0.3417896809089308,55.0
Poptip,Angel,USA,software,3001984.0,9.0,2012.0,operating,2013-06-01,240158.72,0.08,166776.88888888888,9.0,13.663215172619184,79.0
iMedix Inc.,Series A,ISR,search,2000000.0,,2007.0,closed,2007-12-01,600000.0,0.3,83333.33333333333,12.0,0.44963175860467597,100.0
Proofpoint,Series A,USA,software,59000000.0,10.0,2002.0,ipo,2008-02-26,17700000.0,0.3,2458333.3333333335,12.0,3.094970604500171,100.0
MyClean,Angel,USA,local,270000.0,,2009.0,operating,2013-03-01,21600.0,0.08,15000.0,9.0,0.3062464481445058,79.0
Simple.TV,Series A,USA,hardware,5700000.0,2.0,2011.0,operating,2013-04-02,1710000.0,0.3,237500.0,12.0,2.9592622628410994,100.0
ClarityRay,Angel,ISR,advertising,500000.0,,2011.0,operating,2012-05-18,40000.0,0.08,27777.777777777777,9.0,0.6561630433163597,79.0
Connected Data,Series A,USA,analytics,6745000.0,2.0,,operating,2013-01-31,2023500.0,0.3,281041.6666666667,12.0,5.995118256875273,100.0
Incident Technologies,Angel,USA,hardware,745000.0,13.0,2009.0,operating,2011-11-01,59600.0,0.08,41388.88888888889,9.0,4.464647974970762,79.0
Rental Kharma,Angel,USA,web,15000.0,1.0,2011.0,operating,2012-05-05,1200.0,0.08,833.3333333333334,9.0,0.47754115915016787,79.0
Magic Tech Network,Series A,,,7800000.0,1.0,2006.0,operating,,2340000.0,0.3,325000.0,12.0,0.4207837035107128,100.0
CallApp,Angel,ISR,mobile,1000000.0,2.0,2011.0,operating,2012-10-02,80000.0,0.08,55555.555555555555,9.0,1.395225068773944,79.0
RealityMine,Series D+,GBR,mobile,909151.0,1.0,2012.0,operating,2013-07-24,909151.0,1.0,25254.194444444445,18.0,5.229481969571205,75.0
Histogenics,Series A,USA,biotech,96400000.0,3.0,,operating,2012-07-23,28920000.0,0.3,4016666.6666666665,12.0,10.523010106307542,100.0
Punch!,Series A,USA,mobile,2200000.0,4.0,2011.0,operating,2011-06-01,660000.0,0.3,91666.66666666667,12.0,5.567095994411921,100.0
Adisn,Series A,USA,advertising,1000000.0,1.0,,acquired,2008-08-25,300000.0,0.3,41666.666666666664,12.0,2.6267937603441696,100.0
Luzern Solutions,Series A,IRL,ecommerce,3691750.0,1.0,2002.0,operating,2008-08-25,1107525.0,0.3,153822.91666666666,12.0,0.2503153196642004,100.0
Vanu Coverage,Series A,,network_hosting,3200000.0,4.0,,operating,2012-05-08,960000.0,0.3,133333.33333333334,12.0,11.432773774504442,100.0
Envoy Therapeutics,,USA,biotech,1200000.0,1.0,,acquired,2012-05-08,240000.0,0.2,50000.0,12.0,1.7703202053158593,55.0
Jebbit,Series A,USA,advertising,2250000.0,6.0,2010.0,operating,2013-08-01,675000.0,0.3,93750.0,12.0,5.575681644440595,100.0
Sedicidodici,Angel,ITA,health,1165500.0,1.0,,operating,2012-05-09,93240.0,0.08,64750.0,9.0,1.410827819062173,79.0
Sibaritus,Angel,ESP,hospitality,156300.0,,,operating,2012-05-08,12504.0,0.08,8683.333333333334,9.0,1.2061403284324512,79.0
Highwinds,,USA,software,311800000.0,6.0,2002.0,operating,2013-08-08,62360000.0,0.2,12991666.666666666,12.0,1.3462623937589595,55.0
Quanterix,Series C,USA,biotech,41499999.0,4.0,2007.0,operating,2012-11-15,33199999.200000003,0.8,1152777.75,18.0,3.7107931966216556,75.0
Wear Inns,Series A,GBR,hospitality,16151032.0,2.0,,operating,2012-05-08,4845309.6,0.3,672959.6666666666,12.0,6.328713553023325,100.0
CareCam Health Systems,Series D+,USA,software,10200000.0,1.0,,operating,2013-01-24,10200000.0,1.0,283333.3333333333,18.0,6.153126952176318,75.0
Mobile Labs,Series A,USA,mobile,2962730.0,,2011.0,operating,2013-04-29,888819.0,0.3,123447.08333333333,12.0,1.4109918036151379,100.0
eshtery,Angel,EGY,mobile,12000.0,1.0,2012.0,operating,2012-02-01,960.0,0.08,666.6666666666666,9.0,0.9446307374313385,79.0
WildTangent,,USA,games_video,84000000.0,10.0,1998.0,operating,2007-11-01,16800000.0,0.2,3500000.0,12.0,1.5368123215781742,55.0
Swiftype,Series A,USA,search,9200000.0,16.0,2012.0,operating,2013-09-27,2760000.0,0.3,383333.3333333333,12.0,48.99562120924586,100.0
Maya Medical,,USA,biotech,6220582.0,,2010.0,acquired,2012-03-26,1244116.4000000001,0.2,259190.91666666666,12.0,0.651771133903757,55.0
Flint,Series B,USA,mobile,11000000.0,5.0,2011.0,operating,2013-12-10,5500000.0,0.5,366666.6666666667,15.0,10.311478440422823,90.0
Arctic Diagnostics,Series A,FIN,medical,3496500.0,1.0,,operating,2012-05-09,1048950.0,0.3,145687.5,12.0,2.865908774061541,100.0
Smart Hydro Power,Series B,DEU,cleantech,3496500.0,1.0,,operating,2012-05-09,1748250.0,0.5,116550.0,15.0,3.8253057011841602,90.0
ThisLife,Series A,USA,web,2750000.0,6.0,2010.0,acquired,2012-06-22,825000.0,0.3,114583.33333333333,12.0,5.652346950069339,100.0
StyleSaint,Series A,USA,fashion,10100000.0,7.0,2011.0,operating,2013-08-14,3030000.0,0.3,420833.3333333333,12.0,10.770596629752253,100.0
Equals6,Series A,CAN,social,250000.0,1.0,,operating,2012-05-10,75000.0,0.3,10416.666666666666,12.0,2.3619801047132554,100.0
Geosho,Angel,GBR,enterprise,387804.0,1.0,2010.0,operating,2011-01-10,31024.32,0.08,21544.666666666668,9.0,0.4247186224497479,79.0
Protonet,Angel,DEU,,1200000.0,,,operating,2013-07-02,96000.0,0.08,66666.66666666667,9.0,1.4137997627914247,79.0
Goblinworks,Angel,USA,games_video,1647000.0,,2011.0,operating,2013-01-14,131760.0,0.08,91500.0,9.0,0.7168880119148756,79.0
Voxeet,Series A,USA,mobile,995000.0,,2008.0,operating,2013-06-17,298500.0,0.3,41458.333333333336,12.0,0.5153416443953797,100.0
Drawbridge,Series B,USA,advertising,20500000.0,3.0,2010.0,operating,2013-02-21,10250000.0,0.5,683333.3333333334,15.0,4.275778533524153,90.0
Glider,Angel,USA,software,1350000.0,5.0,2012.0,operating,2013-04-09,108000.0,0.08,75000.0,9.0,7.17812479093575,79.0
Gilt Groupe,Series A,USA,fashion,236000000.0,11.0,2007.0,operating,2011-07-19,70800000.0,0.3,9833333.333333334,12.0,6.739502461826772,100.0
Qoiza,Series A,USA,software,80000.0,,2011.0,operating,2012-04-26,24000.0,0.3,3333.3333333333335,12.0,1.066020156967033,100.0
TruClinic,Series A,USA,other,300000.0,,2010.0,operating,2012-05-18,90000.0,0.3,12500.0,12.0,0.7907478804611343,100.0
Outroop,Angel,USA,ecommerce,25000.0,,2012.0,operating,2011-08-15,2000.0,0.08,1388.888888888889,9.0,1.0194066064240799,79.0
Ascendify,Angel,USA,software,1000000.0,,2012.0,operating,2013-04-09,80000.0,0.08,55555.555555555555,9.0,1.395225068773944,79.0
Oneflare,Angel,AUS,web,476000.0,,2012.0,operating,2013-06-17,38080.0,0.08,26444.444444444445,9.0,1.319596652886447,79.0
Amara,Series A,USA,enterprise,1000000.0,2.0,,operating,2012-05-10,300000.0,0.3,41666.666666666664,12.0,5.265869527994654,100.0
MEDSEEK,Series A,USA,software,5500003.0,,1996.0,operating,2012-03-07,1650000.9,0.3,229166.79166666666,12.0,0.16211336979353527,100.0
KaritKarma,Angel,BGD,enterprise,30000.0,1.0,2010.0,operating,2011-07-05,2400.0,0.08,1666.6666666666667,9.0,0.33780576194297735,79.0
True Fit,Series A,USA,web,6846036.0,,2006.0,operating,2011-07-29,2053810.7999999998,0.3,285251.5,12.0,0.41722375215482677,100.0
LetsWombat,Angel,,advertising,25000.0,1.0,,operating,2012-01-09,2000.0,0.08,1388.888888888889,9.0,1.0194066064240799,79.0
Datical,Angel,USA,software,1660000.0,6.0,2012.0,operating,2013-05-23,132800.0,0.08,92222.22222222222,9.0,8.742564140594109,79.0
Zazzle,Series B,USA,ecommerce,46000000.0,3.0,1999.0,operating,2007-10-01,23000000.0,0.5,1533333.3333333333,15.0,0.9506988739777242,90.0
MyStore.com,Angel,USA,ecommerce,1120000.0,3.0,2006.0,operating,2008-04-20,89600.0,0.08,62222.22222222222,9.0,0.5958835049551506,79.0
Secure64,Series A,USA,software,4730890.0,,2002.0,operating,2013-02-14,1419267.0,0.3,197120.41666666666,12.0,0.2546222340027723,100.0
Netlift,Angel,CAN,transportation,50169.0,,2012.0,operating,2012-04-01,4013.52,0.08,2787.1666666666665,9.0,1.0903673508219187,79.0
Weather Decision Technologies,,USA,other,4000000.0,,1999.0,operating,2013-11-29,800000.0,0.2,166666.66666666666,12.0,0.1259984414213714,55.0
mYwindow,Angel,IND,web,50000.0,,2013.0,operating,2012-11-20,4000.0,0.08,2777.777777777778,9.0,1.0900235812589905,79.0
Cyphort,Series B,USA,enterprise,23700000.0,3.0,2011.0,operating,2013-10-28,11850000.0,0.5,790000.0,15.0,6.4752245435189355,90.0
Shoplins,Angel,URY,mobile,350000.0,2.0,2012.0,operating,2012-05-01,28000.0,0.08,19444.444444444445,9.0,2.588822993591503,79.0
Utopia,Series A,USA,enterprise,50000000.0,,,operating,2012-05-11,15000000.0,0.3,2083333.3333333333,12.0,3.3740788550788734,100.0
BioSurplus,Series A,USA,biotech,3900000.0,2.0,2002.0,operating,2012-07-17,1170000.0,0.3,162500.0,12.0,0.5148185650398189,100.0
batterii,Series A,USA,software,3300000.0,4.0,,operating,2013-02-08,990000.0,0.3,137500.0,12.0,11.456286112576095,100.0
Conject,Series A,DEU,software,5000000.0,2.0,,operating,2008-09-01,1500000.0,0.3,208333.33333333334,12.0,5.8807477949139,100.0
IMT (Innovative Micro Technology),Series C,USA,biotech,22000000.0,4.0,,operating,2005-01-01,17600000.0,0.8,611111.1111111111,18.0,21.517951073588343,75.0
Trellis Automation,,USA,mobile,550000.0,,2012.0,operating,2013-09-18,110000.0,0.2,22916.666666666668,12.0,1.6709682228458211,55.0
LucidPort Technology,,USA,hardware,3479850.0,2.0,,operating,2011-02-22,695970.0,0.2,144993.75,12.0,3.824089961890219,55.0
apozy,Angel,USA,security,175000.0,,2012.0,operating,2013-09-15,14000.0,0.08,9722.222222222223,9.0,1.217653518307684,79.0
Quantum OPS,Series A,USA,biotech,1050000.0,1.0,2010.0,operating,2012-06-28,315000.0,0.3,43750.0,12.0,0.8705165911165679,100.0
Grower's Secret,Series A,USA,cleantech,1587500.0,,1998.0,operating,2011-11-21,476250.0,0.3,66145.83333333333,12.0,0.16954191888748552,100.0
Smart Destinations,,USA,travel,13000000.0,2.0,,operating,2010-06-16,2600000.0,0.2,541666.6666666666,12.0,4.159770329029513,55.0
PixelFish,Series A,USA,advertising,8000000.0,6.0,2006.0,operating,2011-07-21,2400000.0,0.3,333333.3333333333,12.0,2.5902576364909904,100.0
JAZD Markets,Series A,USA,advertising,8000000.0,,2008.0,operating,2008-12-22,2400000.0,0.3,333333.3333333333,12.0,0.5949772429130569,100.0
BeliefNet,Series A,USA,web,7000000.0,1.0,2008.0,acquired,2005-06-01,2100000.0,0.3,291666.6666666667,12.0,0.5898757381801341,100.0
Squla,Angel,NLD,education,531600.0,,2009.0,operating,2010-04-27,42528.0,0.08,29533.333333333332,9.0,0.3235013828257604,79.0
DYNAGENT SOFTWARE SL,Angel,ESP,software,1215385.0,6.0,2006.0,operating,2010-01-01,97230.8,0.08,67521.38888888889,9.0,1.211186254247952,79.0
Integromics,Series A,ESP,software,1391700.0,,2002.0,operating,2009-01-01,417510.0,0.3,57987.5,12.0,0.23337378651641325,100.0
Tarana Wireless,Series A,USA,mobile,14142157.0,,2009.0,operating,2012-07-19,4242647.1,0.3,589256.5416666666,12.0,0.773999350586103,100.0
Referly,,USA,web,1300000.0,11.0,2012.0,operating,2013-09-30,260000.0,0.2,54166.666666666664,12.0,19.708468793190146,55.0
Skyscraper,Angel,USA,advertising,500000.0,14.0,2012.0,operating,2012-12-03,40000.0,0.08,27777.777777777777,9.0,18.704179410128553,79.0
Mortar Data,Series A,USA,software,2250000.0,4.0,2011.0,operating,2012-07-23,675000.0,0.3,93750.0,12.0,5.575681644440595,100.0
Tamra-Tacoma Capital Partners,Series A,USA,cleantech,60000000.0,1.0,2012.0,operating,2012-07-01,18000000.0,0.3,2500000.0,12.0,3.40890640636165,100.0
BISON,Angel,USA,finance,1330790.0,1.0,2011.0,operating,2012-06-29,106463.2,0.08,73932.77777777778,9.0,0.7060286173971821,79.0
Virident Systems,Series A,USA,enterprise,129677153.0,9.0,2006.0,acquired,2013-01-28,38903145.9,0.3,5403214.708333333,12.0,4.5756740032485625,100.0
Regentis Biomaterials,Series C,ISR,biotech,10000000.0,3.0,,operating,2012-05-14,8000000.0,0.8,277777.77777777775,18.0,15.382326637321508,75.0
Newfield Design,Series A,USA,manufacturing,662000.0,3.0,2008.0,closed,2012-05-14,198600.0,0.3,27583.333333333332,12.0,1.5238865193801887,100.0
Softgate Systems,,USA,finance,7500000.0,1.0,1993.0,operating,2012-05-14,1500000.0,0.2,312500.0,12.0,0.08851692370107221,55.0
Inoveight Holdings,Series A,GBR,sports,19294500.0,1.0,,operating,2012-05-14,5788350.0,0.3,803937.5,12.0,3.1921865064276487,100.0
Spins.FM,Angel,USA,games_video,250000.0,,2010.0,operating,2012-12-01,20000.0,0.08,13888.888888888889,9.0,0.4098090348304981,79.0
PLASTIQ,Series A,USA,ecommerce,8349996.0,4.0,,operating,2013-02-28,2504998.8,0.3,347916.5,12.0,12.165620992477368,100.0
Sonopia,Series B,USA,mobile,21450000.0,3.0,2005.0,operating,2007-05-01,10725000.0,0.5,715000.0,15.0,1.6000673360719517,90.0
Silver Spring Networks,Series D+,USA,network_hosting,283929977.0,11.0,2002.0,ipo,2013-03-27,283929977.0,1.0,7886943.805555556,18.0,7.423939646516558,75.0
Puzl,Angel,GBR,search,680000.0,2.0,2011.0,operating,2013-01-08,54400.0,0.08,37777.77777777778,9.0,1.355934253682886,79.0
